frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
349,3,6,6,1,2,2,1,1,1,6,6,4,0,0,0
350,4,4,0,4,4,1,5,5,5,4,4,4,3,3,3
351,2,0,0,0,0,5,1,1,0,4,4,1,1,5,5
352,4,4,4,4,4,1,5,5,5,3,0,0,6,1,1
353,1,1,0,5,5,3,5,5,5,3,3,0,4,0,0
354,1,1,3,1,1,1,3,3,3,0,0,0,4,5,5
355,1,1,1,1,1,1,5,3,3,0,0,4,3,3,3
356,0,0,1,0,0,0,0,0,0,4,4,4,3,3,3
357,5,5,4,4,4,4,1,3,3,4,4,1,1,0,0
358,6,1,1,2,3,3,1,4,4,0,0,0,4,0,0
359,1,1,1,3,3,3,2,2,2,1,2,2,4,0,0
360,4,5,5,5,5,5,0,2,2,1,1,1,5,5,5
361,6,6,1,6,6,4,5,5,3,0,0,0,4,4,4
362,0,0,2,5,1,1,4,4,4,1,1,2,0,0,0
363,0,0,3,1,0,0,3,3,3,1,2,2,0,1,1
364,0,2,2,1,1,1,1,4,4,0,0,0,1,1,1
365,0,0,0,6,6,6,0,0,0,1,1,2,2,2,4
366,6,6,6,2,2,3,3,3,2,1,1,1,0,0,2
367,0,3,3,1,1,1,3,3,3,2,2,3,7,3,3
368,3,1,1,2,2,3,1,8,3,4,4,1,0,0,3
369,4,4,4,3,3,0,0,0,0,2,2,2,0,0,1
370,6,6,1,1,1,0,3,0,0,7,7,7,4,4,4
371,1,1,1,7,7,4,3,3,0,4,4,4,4,5,5
372,0,0,0,4,1,1,1,1,1,4,4,1,1,3,3
373,7,3,3,5,5,1,4,4,4,3,3,3,1,1,3
374,2,2,2,4,1,1,7,7,7,3,3,3,2,0,0
375,0,3,3,2,2,3,5,5,5,1,1,1,0,0,0
376,4,4,0,4,4,4,1,1,3,4,8,1,2,2,2
377,7,7,7,3,0,0,1,1,0,1,1,1,4,4,4
378,4,4,0,6,4,4,1,0,0,3,3,3,4,4,0
379,1,3,3,1,1,2,7,7,2,1,0,0,4,4,4
380,7,3,3,0,5,5,1,1,3,4,8,1,5,5,4
381,0,0,2,1,1,1,7,7,2,7,7,4,7,7,3
382,0,3,3,1,1,1,0,6,6,0,4,4,5,5,0
383,1,1,7,1,1,1,2,1,1,1,1,1,4,4,4
384,6,6,1,1,3,3,4,4,1,6,4,4,3,3,1
385,1,1,0,3,3,0,5,5,5,4,4,4,4,4,4
386,0,0,0,0,5,5,3,5,5,3,3,6,1,0,0
387,3,1,1,0,5,5,1,1,3,0,0,5,1,5,5
388,1,3,3,7,7,4,5,5,3,4,4,1,3,3,2
389,7,7,7,1,2,2,5,0,0,2,2,3,1,7,7
390,0,0,4,5,3,3,0,2,2,1,1,1,1,1,1
391,0,3,3,5,5,5,3,7,7,7,4,4,2,2,0
392,1,7,7,1,1,1,0,4,4,3,3,6,4,4,4
393,6,6,6,0,7,7,4,4,4,5,1,1,5,5,0
394,3,3,3,1,1,1,0,0,1,5,5,5,0,2,2
395,2,2,2,3,3,0,0,0,1,1,1,0,1,3,3
396,0,0,0,1,2,2,0,4,4,0,0,5,1,3,3
397,0,0,0,2,2,2,2,2,1,4,4,1,0,4,4
398,4,4,4,5,5,1,1,1,1,3,0,0,4,4,4
399,6,6,1,1,1,1,0,0,0,5,5,5,5,4,4
400,7,7,7,2,3,3,1,1,0,3,3,0,0,0,1
401,4,4,0,4,4,4,5,5,3,5,5,5,5,0,0
402,0,0,0,0,0,5,5,5,5,0,0,0,1,1,3
403,6,6,1,4,1,1,0,0,0,0,4,4,5,5,0
404,3,3,3,1,1,1,7,7,7,3,3,3,7,7,3
405,4,4,4,1,1,1,0,2,2,3,3,0,4,4,4
406,3,3,3,7,7,7,5,3,3,4,4,1,3,2,2
407,0,0,0,4,4,4,5,5,5,0,0,4,1,1,7
408,6,6,1,5,3,3,0,0,0,0,5,5,3,2,2
409,4,0,0,1,1,1,1,1,0,0,5,5,0,0,4
410,1,1,5,4,1,1,3,5,5,3,3,3,3,3,3
411,7,7,7,2,2,2,0,1,1,0,0,5,1,7,7
